Filter,Pos RMSE [m],Head RMSE [rad],Final Pos Error [m],Final Head Error [rad],Mean NEES,Consistency [%],Mean NIS,Convergence Step,Total Time [s],Avg Predict [ms],Avg Update [ms],Peak RAM [MB],GPU RAM [MB]
EKF,1.6604551076889038,0.3972303569316864,0.4300215244293213,0.21529293060302734,40.03439712524414,41.0,5.109689712524414,Never,1.1605051200000025,1.6473006689921021,4.155224654823542,509.703125,0.0
UKF,1.3185298442840576,0.3316301703453064,1.0877697467803955,0.586024284362793,6.438077926635742,76.0,4.73361873626709,Never,1.131685196000003,1.68535893317312,3.973066806793213,512.0,0.0
PF,0.5586021542549133,0.2317459136247635,1.7418264150619507,1.0271110534667969,1.2830955982208252,99.5,9.777824401855469,Never,1.142907004000005,1.6816972056403756,4.03283815830946,535.25,0.0
