Metric,Riccati,Joseph
RMSE (filtered),2.1238982677459717,2.1238982677459717
RMSE (predicted),2.7283878326416016,2.7283878326416016
MAE (filtered),1.595658302307129,1.5956584215164185
Mean NEES,3.7612719535827637,3.7612719535827637
Mean κ(P_filt),17.868227005004883,17.868227005004883
Max κ(P_filt),21.145626068115234,21.145626068115234
Max |P - P^T|,7.152557373046875e-07,4.76837158203125e-07
Min λ_min(P),0.5278640389442444,0.5278640389442444
PD violations,0,0
