Filter,Pos RMSE [m],Head RMSE [rad],Final Pos Error [m],Final Head Error [rad],Mean NEES,Consistency [%],Mean NIS,Convergence Step,Total Time [s],Avg Predict [ms],Avg Update [ms],Peak RAM [MB],GPU RAM [MB]
EKF,1.6604551076889038,0.3972303569316864,0.4300215244293213,0.21529294550418854,40.03439712524414,41.0,5.109689712524414,Never,0.990428596999998,1.4284413773566484,3.523701336234808,450.5,0.0
UKF,1.316080927848816,0.3311190605163574,1.0867010354995728,0.5854034423828125,6.397996425628662,76.0,4.733701705932617,Never,1.031698179999994,1.478408114053309,3.680082503706217,452.8125,0.0
PF,0.9060197472572327,0.28784555196762085,1.7413898706436157,1.0706892013549805,1.2533183097839355,100.0,9.766508102416992,Never,1.9121126329999854,2.8775117825716734,6.683051586151123,494.046875,0.0
