particles,pos_rmse_mean,pos_rmse_std,pos_rmse_min,pos_rmse_max,mean_nees,nees_std,consistency,total_time,time_std,avg_predict_time,avg_update_time,peak_memory
500,2.246306,1.016343,0.800613,4.100862,180.230713,237.054337,50.000000,0.877018,0.105696,0.001048,0.003313,489.415619
1000,1.369011,0.676953,0.695253,3.111946,39.523991,94.758263,81.199997,0.852504,0.040260,0.001050,0.003189,436.360931
2000,1.634706,0.697381,0.811965,3.074140,7.913256,4.983939,82.150002,0.901775,0.081435,0.001162,0.003324,436.615631
5000,1.365073,0.630187,0.612511,2.414444,2.614525,1.110836,96.449997,0.998311,0.005530,0.001359,0.003610,441.337494
10000,0.925700,0.226610,0.695819,1.476543,1.773098,0.375506,99.300003,1.596843,0.392313,0.002224,0.005726,299.200012
20000,0.960901,0.212531,0.704901,1.384203,1.524395,0.274055,99.500000,1.860079,0.265191,0.002842,0.006421,266.348450
