t,nees_riccati,nees_joseph,cond_riccati_filt,cond_joseph_filt,eigmin_riccati,eigmin_joseph,cov_diff
0,5.465926170349121,5.465926170349121,3.669445037841797,3.669445037841797,2.9968783855438232,2.9968783855438232,0.0
1,6.417351722717285,6.417351722717285,8.701876640319824,8.701876640319824,1.5166748762130737,1.5166748762130737,0.0
2,6.1518096923828125,6.151808261871338,14.882772445678711,14.882762908935547,0.9144006967544556,0.9144010543823242,6.743495646333031e-07
3,8.142475128173828,8.142473220825195,19.373876571655273,19.373870849609375,0.6705078482627869,0.6705080270767212,3.769728778024728e-07
4,4.444881439208984,4.444881439208984,21.145626068115234,21.145626068115234,0.5726518630981445,0.5726518630981445,0.0
5,1.9487252235412598,1.9487248659133911,21.02719497680664,21.027196884155273,0.5371663570404053,0.5371662974357605,1.3902072169003077e-06
6,1.7429087162017822,1.7429087162017822,20.160158157348633,20.160158157348633,0.528166651725769,0.528166651725769,0.0
7,2.4999356269836426,2.4999356269836426,19.237348556518555,19.237348556518555,0.5290443897247314,0.5290443897247314,3.3717478231665154e-07
8,3.4918622970581055,3.4918622970581055,18.532106399536133,18.532100677490234,0.5320948958396912,0.5320950150489807,1.6858739115832577e-07
9,2.0046939849853516,2.0046958923339844,18.091264724731445,18.09126853942871,0.5342215299606323,0.5342214703559875,7.725644763922901e-07
10,1.103933572769165,1.1039336919784546,17.868295669555664,17.86829948425293,0.5347269177436829,0.5347267985343933,3.3717478231665154e-07
11,0.3754638433456421,0.3754638433456421,17.791568756103516,17.791576385498047,0.5339782238006592,0.5339779853820801,3.769728778024728e-07
12,0.566117525100708,0.5661175847053528,17.795698165893555,17.795703887939453,0.5326144099235535,0.5326142907142639,2.384185791015625e-07
13,1.4350738525390625,1.4350738525390625,17.83319091796875,17.83319091796875,0.5311640501022339,0.5311639904975891,4.129530850605079e-07
14,1.5720521211624146,1.572052001953125,17.875608444213867,17.875619888305664,0.5299333930015564,0.5299331545829773,1.4404113244381733e-06
15,1.9563926458358765,1.956392526626587,17.90970802307129,17.909711837768555,0.5290333032608032,0.5290331840515137,1.6858739115832577e-07
16,2.4303641319274902,2.4303646087646484,17.931970596313477,17.93198013305664,0.5284510254859924,0.5284508466720581,1.400392079631274e-06
17,2.4594101905822754,2.4594109058380127,17.94387435913086,17.943880081176758,0.528117299079895,0.5281171798706055,4.76837158203125e-07
18,2.995006799697876,2.995016574859619,17.94861602783203,17.9486141204834,0.5279508233070374,0.5279508233070374,3.769728778024728e-07
19,1.2158352136611938,1.2158361673355103,17.94929313659668,17.949295043945312,0.5278829336166382,0.5278828740119934,8.259061701210157e-07
20,0.4284570515155792,0.4284570813179016,17.94818878173828,17.94818878173828,0.5278646945953369,0.5278646349906921,1.5451289527845802e-06
21,0.33660927414894104,0.33660808205604553,17.94666862487793,17.946674346923828,0.5278661251068115,0.5278659462928772,4.76837158203125e-07
22,0.6217036843299866,0.6217039823532104,17.94539451599121,17.94540023803711,0.5278722047805786,0.5278719663619995,4.76837158203125e-07
23,4.435622692108154,4.4356255531311035,17.94456672668457,17.94456672668457,0.5278759598731995,0.5278761386871338,1.5451289527845802e-06
24,7.992470741271973,7.992476463317871,17.944135665893555,17.944128036499023,0.5278769731521606,0.5278772711753845,1.7026492287186556e-06
25,1.6718202829360962,1.6718213558197021,17.943984985351562,17.943973541259766,0.5278756022453308,0.5278759002685547,1.294944354413019e-06
26,3.90425443649292,3.904252052307129,17.943988800048828,17.943981170654297,0.5278730988502502,0.5278733968734741,1.599360416548734e-06
27,9.012939453125,9.01293659210205,17.94406509399414,17.944055557250977,0.5278701186180115,0.5278704762458801,6.951036084501538e-07
28,6.3247880935668945,6.324787139892578,17.944141387939453,17.944133758544922,0.5278680324554443,0.5278682112693787,6.743495646333031e-07
29,5.0331645011901855,5.033165454864502,17.9442081451416,17.944202423095703,0.5278661847114563,0.5278663039207458,3.3717478231665154e-07
30,1.1399377584457397,1.1399385929107666,17.944255828857422,17.94424819946289,0.527864933013916,0.5278652310371399,3.3717478231665154e-07
31,1.8543692827224731,1.854370355606079,17.94427490234375,17.94426918029785,0.5278644561767578,0.5278645753860474,3.3717478231665154e-07
32,2.778975248336792,2.778975486755371,17.944284439086914,17.944276809692383,0.5278640985488892,0.5278643369674683,1.5078915112098912e-06
33,2.183715343475342,2.183716058731079,17.944284439086914,17.944278717041016,0.5278640389442444,0.5278642177581787,6.743495646333031e-07
34,3.3244409561157227,3.3244409561157227,17.944278717041016,17.94426727294922,0.5278640985488892,0.527864396572113,3.769728778024728e-07
35,2.0448670387268066,2.044867515563965,17.944278717041016,17.94426918029785,0.5278640389442444,0.5278642773628235,6.951036084501538e-07
36,1.1607965230941772,1.160797357559204,17.944272994995117,17.944271087646484,0.5278640985488892,0.5278641581535339,3.769728778024728e-07
37,1.3912209272384644,1.391221046447754,17.944271087646484,17.944272994995117,0.5278640389442444,0.5278640985488892,1.5542989331152057e-06
38,0.6398945450782776,0.6398937106132507,17.94426918029785,17.94427490234375,0.5278640985488892,0.5278640389442444,2.744403900578618e-06
39,0.12649443745613098,0.1264944225549698,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
40,1.0847663879394531,1.0847671031951904,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
41,0.4357655644416809,0.43576544523239136,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
