t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
114,58.62836456298828,-0.29339760541915894,69.69627380371094,5.360472679138184,60.508949279785156,-0.064261794090271,70.73897552490234,4.699610233306885,60.508949279785156,-0.06426084041595459,70.73896789550781,4.699610710144043
115,58.360042572021484,-0.24324586987495422,75.48916625976562,6.225308895111084,57.93983459472656,-0.6208959817886353,71.7344970703125,3.8764796257019043,57.93983459472656,-0.6208950281143188,71.73448944091797,3.8764808177948
116,58.31327438354492,0.149709552526474,82.01641845703125,6.829193115234375,59.60248565673828,-0.11344146728515625,80.35890197753906,4.931574821472168,59.60248565673828,-0.11344051361083984,80.35890197753906,4.931576728820801
117,58.54438400268555,0.3125108480453491,88.6795654296875,6.497097015380859,57.395572662353516,-0.5786575078964233,85.14682006835938,4.899651050567627,57.395572662353516,-0.5786565542221069,85.14682006835938,4.899652481079102
118,59.01667404174805,0.6320697665214539,94.74015808105469,5.624082565307617,58.72262191772461,-0.15516692399978638,92.03673553466797,5.34193229675293,58.722625732421875,-0.15516626834869385,92.03673553466797,5.3419342041015625
119,59.63797378540039,0.6105281710624695,100.68377685546875,6.263150691986084,59.24601745605469,-0.0043756067752838135,96.15571594238281,5.070164203643799,59.24601745605469,-0.004375249147415161,96.15571594238281,5.070166110992432
120,60.505821228027344,1.125166654586792,107.178955078125,6.72720193862915,60.55929946899414,0.2884368896484375,102.50669860839844,5.354790210723877,60.55929946899414,0.28843724727630615,102.50669860839844,5.35479211807251
121,61.418968200683594,0.7011252641677856,113.75308990478516,6.421070098876953,59.73128890991211,0.040337830781936646,109.06681060791016,5.622639179229736,59.73128890991211,0.0403381884098053,109.06681060791016,5.622641086578369
122,62.46635437011719,1.393643856048584,120.21934509277344,6.511432647705078,58.854496002197266,-0.16346892714500427,112.91261291503906,5.227785587310791,58.854496002197266,-0.16346856951713562,112.91261291503906,5.227787494659424
123,63.57231521606445,0.818284273147583,126.92486572265625,6.89961051940918,59.211727142333984,-0.04775817692279816,120.97247314453125,5.857135772705078,59.211727142333984,-0.047757819294929504,120.97247314453125,5.8571367263793945
