method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.29695892333984,-112038600769536.0,8951722672128.0,112395646718163.27,1,1,10.22201681137085,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.48367309570312,-4225252.5,1350180.0,4435734.969670331,1,1,9.78621220588684,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-153.8123321533203,-18.086017608642578,31.354814529418945,36.197077604613206,1,1,9.029436826705933,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-1456.2528076171875,nan,nan,nan,1,0,8.538676977157593,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-75.42681884765625,-14198444654592.0,8400817618944.0,16497562464687.688,1,1,9.31496787071228,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-2282.941650390625,nan,nan,nan,1,0,8.544472932815552,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-78.49954223632812,-179803930624.0,-32950312960.0,182798185417.6954,1,1,8.541759014129639,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,79490,-81.49803924560547,56361508864.0,983359488.0,56370086724.33803,1,1,9.445276021957397,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,87409,-80.47208404541016,-6282974.0,14391840.0,15703528.930475341,1,1,8.613787174224854,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,95328,-81.6041030883789,8648.8154296875,7250.05078125,11285.621146729332,1,1,9.396179914474487,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,103247,-148.37794494628906,188.18670654296875,5.6964111328125,188.27290197817493,1,1,8.508606910705566,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,111166,-141.2291717529297,14717860.0,-14740251.0,20830036.06628181,1,1,8.958030223846436,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,119085,-78.32992553710938,3910829.25,972420.0,4029911.423227012,1,1,8.69275689125061,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,127004,-86.8360595703125,1021854416896.0,-47526150144.0,1022959033528.4078,1,1,8.588973760604858,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,134923,-76.75901794433594,-158712080.0,-42295512.0,164251132.9436377,1,1,9.495513200759888,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,142842,-78.72699737548828,-302960768.0,176300080.0,350523815.38942003,1,1,9.440346002578735,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,150761,-81.65157318115234,-82594906112.0,11180150784.0,83348151072.49272,1,1,8.513036012649536,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-74.97338104248047,1074658803712.0,-290697412608.0,1113281873602.8594,1,1,9.094358205795288,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-1589.6656494140625,nan,nan,nan,1,0,9.108237981796265,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-77.80537414550781,-151941696.0,233104688.0,278251818.59411764,1,1,8.69329571723938,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-83.50191497802734,18230687744.0,-9375472640.0,20500182019.743637,1,1,8.674529075622559,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-75.7579345703125,-38621499359232.0,4582528778240.0,38892412920241.34,1,1,9.035077095031738,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-84.48465728759766,-129499026948096.0,27234387623936.0,132331817223804.84,1,1,9.638708114624023,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-82.06868743896484,4199547904.0,-2263909120.0,4770900030.5613165,1,1,8.672039031982422,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-77.24200439453125,-31733975040.0,1986153728.0,31796068600.859936,1,1,8.63122296333313,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-80.3615951538086,1162605625344.0,-325399412736.0,1207284812250.3848,1,1,8.541836023330688,
