method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,n,finite_loglik_rate,finite_grad_rate,loglik_mean,loglik_std,loglik_cv,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_log10_median,grad_log10_mad,grad_log_sigma_v2_mean,grad_log_sigma_v2_std,grad_log_sigma_v2_snr,grad_log_sigma_w2_mean,grad_log_sigma_w2_std,grad_log_sigma_w2_snr,grad_vector_snr,grad_cosine_to_mean,grad_cosine_to_mean_std,elapsed_mean_s,n_errors,first_error
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,20,1.0,0.9,-306.978178024292,676.124455408172,2.202516347447565,1159342250117821.2,3753894627700550.5,3.2379520605921597,10.159748323281404,2.424457105074243,1060000431300824.9,3776737718268240.5,0.280665619477243,68565378586079.945,237575041926449.34,0.2886051414748652,0.2806973532954304,0.2512952724311974,0.8470997063543525,11.178717756271363,0,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,20,1.0,0.9,-267.88018264770506,564.5281684917478,2.1073905613771022,7235755736729.369,26528153818714.926,3.6662588931872797,8.380112952055093,2.4558593845501653,-6968013053491.483,26436797785419.797,0.2635725063999402,960283360009.8599,2808725403350.8257,0.3418929308163184,0.26457466307757116,0.11394076405123992,0.8766712920625865,9.22313870191574,0,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,20,1.0,0.9,-224.92038078308104,444.30100140438225,1.9753701281204814,16174022263106.148,36255951302041.81,2.2416162604612997,11.724539948138354,1.639053585429333,-3474703896543.6562,39132165436816.75,0.08879406129859983,1302284342316.5542,6750949748162.813,0.19290387143985993,0.09344519172879712,-0.22474936594444894,0.9357733617171472,9.740387785434724,0,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,20,1.0,1.0,-93.09198188781738,1.3546695507448472,0.014551946615309175,974029.9585577954,1595984.8818956723,1.6385377758388244,5.172083137834406,0.6619652165185848,-406363.3430480957,1810274.2113271048,0.2244761266030478,18142.337107849122,307528.896529356,0.058993926465434755,0.22152594457178473,0.01891764878705343,0.9339737396045396,2.077452778816223,0,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,20,1.0,1.0,-93.68297233581544,1.1029836640511794,0.011773576740257884,2312898.922411712,6680105.135731499,2.8881958787745043,5.488960088757097,0.25939683585954265,-1731887.202734375,6855100.936037803,0.25264211554197663,37385.764404296875,321994.50636052125,0.11610683929631362,0.25242266297462135,-0.033954244054097124,0.8709652972503545,0.36028026342391967,0,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,20,1.0,1.0,-92.96018829345704,0.8684738176089927,0.009342427479464559,564714.4396349702,982128.7663707767,1.7391600027185812,5.271967496454447,0.5657746473363012,-329446.6986572266,1083484.8258502483,0.30406212509593594,6275.388711547852,109705.63082795026,0.05720206578447603,0.30257024961347406,0.23462334567041948,0.9308461651075489,0.3567580461502075,0,
