step,ekf_nees,ukf_nees
0,0.039912,0.050259
1,0.004744,0.023459
2,0.089749,0.130695
3,0.281963,0.252516
4,0.078811,0.174244
5,0.140459,0.324528
6,0.020201,0.106405
7,0.028706,0.120499
8,0.026276,0.063356
9,0.059211,0.028753

summary
avg_nees_ekf,0.077003
avg_nees_ukf,0.127471
nees_lower,0.215795
nees_upper,9.348406
