uncertainty_scale,variance_error,true_std_range,true_std_bearing,linear_std_range,linear_std_bearing
0.100000,0.867044,0.078724,0.675622,0.200000,0.544828
0.500000,0.659696,0.273489,2.064935,0.600000,2.324138
1.000000,1.188839,0.434096,2.466952,1.100000,4.548276
2.000000,1.668611,0.907497,2.975871,2.100000,8.996553
