sigma_point_idx,x,y,theta,meas_range,meas_bearing
0,0.000000,0.000000,0.000000,14.142136,0.785398
1,0.519616,0.000000,0.000000,13.779612,0.812066
2,-0.519616,0.000000,0.000000,14.514211,0.760081
3,0.000000,0.519616,0.000000,13.779612,0.758731
4,0.000000,-0.519616,0.000000,14.514211,0.810716
5,0.000000,0.000000,0.519616,14.142136,0.265782
6,0.000000,0.000000,-0.519616,14.142136,1.305014
