uncertainty_scale,error_moderate,error_strong
0.100000,0.978954,0.783339
0.307143,0.339228,0.687273
0.514286,0.231454,0.681619
0.721429,0.150751,0.713587
0.928571,0.044497,1.038572
1.135714,0.066001,1.230690
1.342857,0.062090,1.622295
1.550000,0.092916,1.350260
1.757143,0.071120,1.405850
1.964286,0.026079,1.548825
2.171428,0.127281,1.736779
2.378571,0.128187,1.944623
2.585714,0.112446,2.221463
2.792857,0.148745,2.220227
3.000000,0.227688,2.285374
