variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-80.77847290039062,-13549647.0,9265098.0,16414474.550658422,1,1,0.9297950267791748,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-78.64127349853516,100477.8046875,-203716.296875,227147.7907602945,1,1,0.9927539825439453,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-20000026.0,nan,nan,nan,1,0,0.9369499683380127,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.79117584228516,1212760192.0,-736155392.0,1418700829.7983584,1,1,1.0431690216064453,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.76727294921875,13084649472.0,-6838943744.0,14764118779.619278,1,1,1.0019299983978271,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-81.5473403930664,-7869841920.0,1321567104.0,7980034552.31644,1,1,1.0085391998291016,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-71.9774169921875,5577382400.0,587623616.0,5608252486.284,1,1,1.0332412719726562,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-80.43760681152344,9654733111296.0,-2543274688512.0,9984093228309.777,1,1,0.9613199234008789,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-86.07820129394531,-292455.5625,-334181.375,444080.4515333703,1,1,1.0269169807434082,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-77.44268798828125,855879057408.0,-711634059264.0,1113082205056.8254,1,1,0.9957959651947021,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-83.27225494384766,92778688.0,62217572.0,111709047.13843247,1,1,0.9634387493133545,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.87092590332031,122321.40625,-430581.4375,447619.14698384376,1,1,1.0378210544586182,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-10000054.0,nan,nan,nan,1,0,0.9737510681152344,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-76.75177764892578,-44010200.0,4449307.0,44234534.43657172,1,1,1.0252251625061035,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-74.9747314453125,6735476.5,-300874.78125,6742193.21260111,1,1,0.9622592926025391,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.45907592773438,5040202752.0,-381603136.0,5054628051.07096,1,1,1.0303008556365967,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.45693969726562,-334269344.0,-1030340160.0,1083206739.1070902,1,1,0.9589941501617432,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-84.40235900878906,-4439936000.0,1941917440.0,4846037043.592646,1,1,0.9613807201385498,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-9000058.0,nan,nan,nan,1,0,1.005359172821045,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-75.8795166015625,2363528.25,-229745.25,2374668.1175367697,1,1,0.9629712104797363,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-83.41124725341797,-243361.9375,29078500.0,29079518.346812826,1,1,1.0486578941345215,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-79.10694122314453,-454327.6875,-29462.771484375,455282.0033041479,1,1,0.9553050994873047,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-75.76358795166016,-207664.4375,65621.65625,217785.95081222427,1,1,0.9926261901855469,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-78.67141723632812,-50367.796875,-1144670.375,1145777.9812706658,1,1,1.0890100002288818,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-129.9085235595703,20478.802734375,-7857.01904296875,21934.313521854714,1,1,1.0582189559936523,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-134.56698608398438,-358.70159912109375,24.055404663085938,359.50730132437457,1,1,0.9982328414916992,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-74.83483123779297,-85796536.0,3562730.0,85870475.9195627,1,1,1.0287971496582031,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.0785140991211,-462849572864.0,150212820992.0,486614445624.8313,1,1,0.9623029232025146,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-83.41910552978516,1222202.0,-1528351.5,1956945.5885016962,1,1,1.034060001373291,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-75.95244598388672,-3756617472.0,-900004288.0,3862924093.1390376,1,1,0.9917688369750977,
