t,x_true,vx_true,y_true,vy_true,x_obs,y_obs,x_filt,vx_filt,y_filt,vy_filt
0.0,1.0355464220046997,-1.8841686248779297,1.0101380348205566,-3.1473817825317383,1.4566693305969238,-3.2943806648254395,0.5476713180541992,0.18634459376335144,-1.2386049032211304,-0.4214340150356293
1.0,-0.9883965253829956,-2.163717269897461,-2.2709240913391113,-3.4147424697875977,2.294037342071533,-4.336182594299316,1.4359872341156006,0.4580895006656647,-2.8642377853393555,-0.8875996470451355
2.0,-3.1498022079467773,-2.1590940952301025,-5.851182460784912,-3.7457737922668457,-2.996000289916992,-4.4002838134765625,-0.47465312480926514,-0.34319809079170227,-4.06594181060791,-0.9938539862632751
3.0,-5.359048843383789,-2.259399652481079,-9.915352821350098,-4.382566928863525,0.3619980812072754,-17.960247039794922,-0.25535279512405396,-0.17935727536678314,-11.210143089294434,-2.7852866649627686
4.0,-8.015534400939941,-3.053572654724121,-14.096280097961426,-3.9792866706848145,-15.735913276672363,-7.519113063812256,-7.359336853027344,-1.9681352376937866,-11.064544677734375,-2.028176784515381
5.0,-10.819459915161133,-2.5542776584625244,-17.992725372314453,-3.81360125541687,-11.998739242553711,-16.32265853881836,-10.466678619384766,-2.238726854324341,-14.470182418823242,-2.3553597927093506
6.0,-13.218199729919434,-2.2432029247283936,-21.708646774291992,-3.6182422637939453,-8.304964065551758,-20.455867767333984,-10.92679500579834,-1.8372694253921509,-18.29288101196289,-2.686558723449707
7.0,-15.265217781066895,-1.850832223892212,-25.472131729125977,-3.9087283611297607,-8.882841110229492,-28.747854232788086,-11.261033058166504,-1.5064969062805176,-23.987812042236328,-3.3486123085021973
8.0,-17.127885818481445,-1.8745037317276,-29.12235450744629,-3.3917179107666016,-15.257301330566406,-22.379106521606445,-13.702366828918457,-1.710543155670166,-25.475095748901367,-2.9423413276672363
9.0,-18.94635009765625,-1.7624226808547974,-32.45888137817383,-3.2813334465026855,-20.65754508972168,-35.090389251708984,-17.342615127563477,-2.132204055786133,-30.8726749420166,-3.478837013244629
