step,ekf_nees,ukf_nees
0,0.090667,0.064232
1,0.026326,0.012664
2,0.057260,0.042149
3,0.155184,0.303249
4,0.291669,0.672209
5,0.090718,0.623773
6,0.156614,0.775879
7,0.115950,50543.531250
8,0.031779,6.748492
9,0.077160,3.524221

summary
avg_nees_ekf,0.109333
avg_nees_ukf,5055.629883
nees_lower,0.215795
nees_upper,9.348406
