uncertainty_scale,variance_error,true_std_range,true_std_bearing,linear_std_range,linear_std_bearing
0.100000,0.937228,0.107304,0.099721,0.200000,0.200500
0.500000,0.197965,0.445745,0.573880,0.600000,0.602500
1.000000,0.096662,0.956517,1.155033,1.100000,1.105000
2.000000,0.041808,1.942960,2.104125,2.100000,2.110000
