step,ekf_nees,ukf_nees
0,0.108259,0.147170
1,0.604395,0.749206
2,0.275402,0.418943
3,0.239904,0.422151
4,0.042201,0.150453
5,0.147745,0.286822
6,0.164284,0.354759
7,0.049505,0.177807
8,0.074426,0.204656
9,0.193754,0.350443

summary
avg_nees_ekf,0.189987
avg_nees_ukf,0.326241
nees_lower,0.215795
nees_upper,9.348406
