uncertainty_scale,variance_error,true_std_range,true_std_bearing,linear_std_range,linear_std_bearing
0.100000,0.817262,0.079550,0.619397,0.200000,0.544828
0.500000,0.612144,0.305170,1.847236,0.600000,2.324138
1.000000,0.937799,0.549485,2.427399,1.100000,4.548276
2.000000,1.857344,0.833464,2.815748,2.100000,8.996553
